                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0426,                 3.1174,                 1.3128,                0.46715,                0.69816,                0.56996,                0.45036,                0.81061,                 1.7031,                 1.1459,             0.00013178,             0.00013178,             0.00013178
                      2,                0.93058,                 1.8025,                  1.181,                0.58159,                0.63576,                0.64699,                0.49909,                0.93979,                  1.577,                 1.2129,             0.00025987,             0.00025987,             0.00025987
                      3,                0.95528,                 1.4333,                 1.1735,                0.73259,                0.71516,                0.79056,                0.60192,                0.91767,                 1.2928,                 1.2194,             0.00038267,             0.00038267,             0.00038267
                      4,                0.94608,                 1.2881,                 1.1728,                0.72018,                0.73332,                0.79361,                0.62503,                 0.8428,                 1.4999,                 1.1372,             0.00037624,             0.00037624,             0.00037624
                      5,                0.89345,                 1.1111,                  1.127,                0.82304,                0.77376,                0.84337,                0.65935,                 0.8265,                0.98759,                 1.1128,             0.00036832,             0.00036832,             0.00036832
                      6,                0.88769,                 1.0568,                 1.1246,                 0.8341,                0.78726,                0.86395,                0.68672,                0.77586,                 1.0211,                 1.0719,              0.0003604,              0.0003604,              0.0003604
                      7,                0.86349,                0.96306,                 1.1017,                0.86734,                0.82602,                0.89788,                0.71269,                0.79654,                0.73798,                 1.0787,             0.00035248,             0.00035248,             0.00035248
                      8,                0.83755,                0.91533,                 1.1073,                 0.8987,                0.84113,                0.90418,                0.72911,                0.73489,                0.66506,                 1.0611,             0.00034456,             0.00034456,             0.00034456
                      9,                0.86641,                0.89834,                 1.0974,                0.88523,                 0.8757,                0.91208,                0.73533,                0.76519,                0.67907,                 1.0606,             0.00033664,             0.00033664,             0.00033664
                     10,                0.83061,                0.82549,                 1.0908,                0.89296,                0.86837,                0.92383,                0.74627,                0.75368,                0.66139,                 1.0549,             0.00032872,             0.00032872,             0.00032872
                     11,                 0.8056,                0.81984,                  1.071,                0.86651,                0.88407,                0.92347,                 0.7543,                0.72131,                0.60033,                 1.0503,              0.0003208,              0.0003208,              0.0003208
                     12,                0.81076,                0.78813,                 1.0756,                0.91317,                   0.88,                0.94679,                 0.7688,                0.72943,                0.56924,                 1.0344,             0.00031288,             0.00031288,             0.00031288
                     13,                0.77844,                0.73582,                   1.05,                0.89708,                0.90056,                0.93197,                0.75586,                0.72839,                 0.5826,                 1.0257,             0.00030496,             0.00030496,             0.00030496
                     14,                0.78896,                0.75231,                 1.0634,                0.90976,                0.87302,                 0.9245,                0.75755,                0.71459,                0.56427,                 1.0269,             0.00029704,             0.00029704,             0.00029704
                     15,                0.78161,                0.72085,                 1.0605,                0.91723,                0.89191,                0.92724,                0.77217,                0.70527,                0.57663,                 1.0106,             0.00028912,             0.00028912,             0.00028912
                     16,                 0.7574,                0.70507,                  1.044,                0.88166,                0.88828,                0.92291,                0.76239,                 0.7028,                0.56727,                 1.0253,              0.0002812,              0.0002812,              0.0002812
                     17,                0.73507,                0.67237,                 1.0342,                0.93946,                0.92121,                0.95178,                0.79327,                 0.6853,                0.50419,                0.99744,             0.00027328,             0.00027328,             0.00027328
                     18,                0.75832,                0.66369,                 1.0487,                0.92174,                0.91687,                0.95245,                0.78731,                0.70087,                0.47556,                 1.0225,             0.00026536,             0.00026536,             0.00026536
                     19,                0.72901,                0.63195,                 1.0374,                0.94058,                0.91929,                0.94935,                0.79047,                 0.7047,                0.48779,                 1.0186,             0.00025744,             0.00025744,             0.00025744
                     20,                0.71924,                0.61781,                 1.0307,                0.92563,                0.91925,                0.95917,                0.79705,                0.67961,                0.48598,                 1.0033,             0.00024952,             0.00024952,             0.00024952
                     21,                0.71264,                0.59536,                  1.033,                0.94073,                0.91348,                0.95843,                0.78976,                0.70156,                0.46519,                 1.0228,              0.0002416,              0.0002416,              0.0002416
                     22,                0.68363,                0.57507,                 1.0141,                0.94059,                0.92764,                0.94264,                0.78758,                0.67423,                0.46912,                 1.0036,             0.00023368,             0.00023368,             0.00023368
                     23,                0.67692,                0.57118,                 1.0034,                0.93259,                0.93708,                0.95518,                 0.7928,                0.69059,                0.46537,                0.99521,             0.00022576,             0.00022576,             0.00022576
                     24,                0.69203,                0.57478,                 1.0184,                 0.9356,                0.92565,                0.96259,                0.79639,                 0.6998,                0.46855,                 1.0126,             0.00021784,             0.00021784,             0.00021784
                     25,                0.68098,                0.55479,                 1.0085,                0.91797,                0.92532,                0.95034,                0.79667,                0.67345,                0.48413,                0.99349,             0.00020992,             0.00020992,             0.00020992
                     26,                0.67207,                0.52999,                 1.0035,                0.92196,                0.92689,                0.95585,                0.80197,                 0.6755,                0.47366,                0.99799,               0.000202,               0.000202,               0.000202
                     27,                0.66816,                0.53626,                0.99452,                 0.9297,                0.92754,                 0.9568,                0.80715,                0.67421,                0.44825,                 1.0027,             0.00019408,             0.00019408,             0.00019408
                     28,                0.66552,                0.52881,                 1.0007,                0.91762,                0.93976,                0.94975,                0.78765,                0.70899,                0.44309,                 1.0306,             0.00018616,             0.00018616,             0.00018616
                     29,                 0.6529,                0.52056,                0.98884,                0.93166,                0.92071,                0.94648,                 0.8021,                 0.6669,                0.46504,                0.99213,             0.00017824,             0.00017824,             0.00017824
                     30,                0.63715,                0.50055,                0.99192,                0.95186,                0.92719,                0.95834,                0.81636,                0.65151,                0.42379,                0.98336,             0.00017032,             0.00017032,             0.00017032
                     31,                 0.6397,                0.50766,                 0.9942,                0.94699,                0.92675,                0.95954,                 0.8138,                0.65819,                0.41734,                0.98945,              0.0001624,              0.0001624,              0.0001624
                     32,                 0.6365,                0.48764,                0.98635,                0.96227,                 0.9239,                0.95893,                0.81364,                0.66548,                0.41958,                 1.0009,             0.00015448,             0.00015448,             0.00015448
                     33,                0.62239,                0.48244,                0.99484,                0.96481,                 0.9291,                0.95832,                0.80975,                0.65578,                0.40877,                 0.9857,             0.00014656,             0.00014656,             0.00014656
                     34,                0.60804,                0.47083,                0.97358,                0.93297,                0.93778,                0.95466,                0.80573,                0.66801,                0.42508,                 1.0006,             0.00013864,             0.00013864,             0.00013864
                     35,                0.60796,                0.45598,                0.97599,                0.94718,                0.93762,                0.95828,                 0.8106,                0.65841,                 0.4026,                0.98682,             0.00013072,             0.00013072,             0.00013072
                     36,                 0.6017,                0.44695,                0.96911,                0.93769,                0.92905,                0.95736,                0.81248,                0.66208,                0.40843,                0.99456,              0.0001228,              0.0001228,              0.0001228
                     37,                0.59449,                0.43004,                0.97472,                0.96116,                0.92343,                0.96018,                0.81488,                0.64836,                0.40073,                0.98846,             0.00011488,             0.00011488,             0.00011488
                     38,                0.59193,                0.43802,                0.96848,                0.96635,                0.93274,                0.95885,                0.81629,                0.65077,                0.38987,                0.98872,             0.00010696,             0.00010696,             0.00010696
                     39,                 0.5833,                0.42464,                0.96108,                0.96305,                0.93837,                0.95585,                0.81671,                  0.651,                0.41436,                0.98637,              9.904e-05,              9.904e-05,              9.904e-05
                     40,                0.57906,                0.41917,                0.96025,                0.94946,                0.93246,                0.95634,                0.80963,                0.67372,                0.40704,                 1.0031,              9.112e-05,              9.112e-05,              9.112e-05
                     41,                0.48728,                0.28468,                0.90086,                0.96085,                  0.934,                0.95781,                0.80924,                0.65904,                0.40068,                0.99809,               8.32e-05,               8.32e-05,               8.32e-05
                     42,                0.48632,                0.27719,                0.90549,                0.97188,                0.93281,                0.96822,                0.81751,                0.65578,                0.39112,                0.98921,              7.528e-05,              7.528e-05,              7.528e-05
                     43,                0.48022,                0.26225,                0.88992,                0.95931,                0.94073,                0.96454,                0.82443,                0.64071,                0.38155,                0.98079,              6.736e-05,              6.736e-05,              6.736e-05
                     44,                 0.4558,                0.25191,                0.87927,                0.95242,                0.94136,                0.95628,                0.81341,                0.64925,                0.38786,                0.98948,              5.944e-05,              5.944e-05,              5.944e-05
                     45,                0.44854,                0.24431,                0.88361,                0.97322,                0.93198,                0.96008,                0.81861,                0.66023,                0.37936,                0.99462,              5.152e-05,              5.152e-05,              5.152e-05
                     46,                0.44266,                0.24242,                0.87374,                0.96935,                0.94103,                0.96613,                0.82717,                0.64421,                0.36075,                0.99249,               4.36e-05,               4.36e-05,               4.36e-05
                     47,                0.43277,                0.23906,                 0.8652,                0.97228,                0.94374,                0.96308,                 0.8275,                0.64034,                0.36109,                0.98235,              3.568e-05,              3.568e-05,              3.568e-05
                     48,                0.41936,                0.23498,                0.86208,                0.97036,                0.94032,                 0.9649,                0.82297,                0.65521,                0.36144,                0.99309,              2.776e-05,              2.776e-05,              2.776e-05
                     49,                0.42338,                0.23113,                 0.8609,                0.96634,                0.94259,                0.96457,                0.82253,                0.65089,                0.35709,                0.98875,              1.984e-05,              1.984e-05,              1.984e-05
                     50,                   0.41,                0.22483,                 0.8658,                0.97324,                0.93985,                0.96654,                0.82974,                0.64767,                0.35033,                0.98705,              1.192e-05,              1.192e-05,              1.192e-05
